area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Bonobithi Abashik Alaka, East Azampur, Dakshin Khan, Dhaka",2 BHK,N/A,875,2,1,33
Super built-up  Area,Ready To Move,"Dakshin Khan, Dhaka",2 BHK,N/A,1231,2,2,48
Super built-up  Area,Ready To Move,"Dakshin Khan, Dhaka",2 BHK,N/A,1174,2,3,74
Built-up  Area,Ready To Move,"Agargaon, Dhaka",3 BHK,N/A,1560,3,3,75
Super built-up  Area,Ready To Move,"Rajabazar, Tejgaon, Dhaka",2 BHK,N/A,1464,2,2,56
Plot  Area,Ready To Move,"East Rampura, Rampura, Dhaka",3 Bedroom,N/A,2200,3,2,130
Built-up  Area,Ready To Move,"Bot Tola, Khilkhet, Dhaka",2 BHK,N/A,850,2,2,55
Built-up  Area,Ready To Move,"Wari, Sutrapur, Dhaka",3 BHK,N/A,1750,3,1,180
Super built-up  Area,Ready To Move,"Nadda, Dhaka",3 BHK,N/A,2024,3,,157
Plot  Area,Ready To Move,"Shah Ali Bag, Section 1, Mirpur, Dhaka",2 Bedroom,N/A,1500,1,0,160
Plot  Area,Ready To Move,"Block D, Chandrima Model Town, Mohammadpur, Dhaka",6 Bedroom,N/A,2100,6,,275
Super built-up  Area,Ready To Move,"Block J, Eastern Housing, Pallabi, Mirpur, Dhaka",3 BHK,N/A,2408,4,2,260
Super built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",2 BHK,N/A,1080,2,1,44
Super built-up  Area,Ready To Move,"Naddapara, Dakshin Khan, Dhaka",3 BHK,N/A,2070,3,2,225
Built-up  Area,18-Dec,"Fakirapool, Motijheel, Dhaka",2 BHK,N/A,1020,2,1,29.46
Super built-up  Area,Ready To Move,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,1500,2,3,55
Plot  Area,Ready To Move,"Gawair, Dakshin Khan, Dhaka",4 Bedroom,N/A,1575,5,1,158
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",4 Bedroom,N/A,3250,4,1,180
Super built-up  Area,Ready To Move,"Mohakhali, Dhaka",2 BHK,N/A,1175,2,1,47
Super built-up  Area,Ready To Move,"Ashkona, Dakshin Khan, Dhaka",2 BHK,N/A,1030,2,1,34.5
Super built-up  Area,18-Jul,"Dhanmondi, Dhaka",2 BHK,N/A,1440,2,1,115
Built-up  Area,Ready To Move,"Rayer Bazaar, Hazaribag, Dhaka",2 BHK,N/A,1500,2,1,84
Plot  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",1 Bedroom,N/A,1380,1,1,62.1
Built-up  Area,Ready To Move,"Hazaribag, Dhaka",2 BHK,N/A,1200,2,3,50
Built-up  Area,Ready To Move,"Sultanganj, Rayer Bazaar, Hazaribag, Dhaka",1 BHK,N/A,705,1,2,36.5
Super built-up  Area,Ready To Move,"Bashabo, Dhaka",3 BHK,N/A,2240,5,2,155
Super built-up  Area,Ready To Move,"Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",3 BHK,N/A,1584.01,3,1,103
Super built-up  Area,Ready To Move,"Section 12, Mirpur, Dhaka",3 BHK,N/A,1340,3,3,77
Super built-up  Area,Ready To Move,"North Ibrahimpur, Ibrahimpur, Dhaka",3 BHK,N/A,1800,3,2,70
Super built-up  Area,Ready To Move,"Shegunbagicha, Dhaka",2 BHK,N/A,1200,2,3,45
Super built-up  Area,18-Nov,"West Kalachandpur, Kalachandpur, Dhaka",1 BHK,N/A,685,1,1,40
Super built-up  Area,Ready To Move,"Khilkhet, Dhaka",2 BHK,N/A,925,2,3,42
Super built-up  Area,Ready To Move,"Arambagh, Motijheel, Dhaka",2 BHK,N/A,1230,2,2,57
Plot  Area,Ready To Move,"Mohakhali, Dhaka",5 Bedroom,N/A,1200,5,1,185
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1125,2,1,52
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1100,2,1,54
Plot  Area,18-Aug,"Suchona Model Town, Bochila, Mohammadpur, Dhaka",3 Bedroom,N/A,2400,3,2,149
Super built-up  Area,18-Jul,"Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,N/A,1400,2,2,41.58
Plot  Area,Ready To Move,"Section 12, Mirpur, Dhaka",7 Bedroom,N/A,1200,7,2,225
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1858,3,1,98.3
Plot  Area,Ready To Move,"Shegunbagicha, Dhaka",1 Bedroom,N/A,1260,1,1,41
Built-up  Area,Ready To Move,"Agargaon, Dhaka",4 BHK,N/A,3530,4,2,290
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1185,2,2,60
Plot  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 Bedroom,N/A,1200,2,1,216
Super built-up  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",2 BHK,N/A,1255,2,1,58
Super built-up  Area,Ready To Move,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",4 BHK,N/A,3436,6,3,475
Built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",3 BHK,N/A,1335,3,2,89
Super built-up  Area,Ready To Move,"East Namapara, Namapara, Khilkhet, Dhaka",3 BHK,N/A,1999,3,2,132
Plot  Area,Ready To Move,"Mohakhali, Dhaka",2 Bedroom,N/A,1200,2,1,125
Super built-up  Area,Ready To Move,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",3 BHK,N/A,1397,3,2,110
Plot  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",10 Bedroom,N/A,1200,10,,105
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",4 BHK,N/A,3950,4,,450
Plot  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 Bedroom,N/A,1200,2,1,130
Plot  Area,Ready To Move,"Middle Bashabo, Bashabo, Dhaka",3 Bedroom,N/A,1616,3,0,95
Plot  Area,Ready To Move,"East Merul Badda, Merul Badda, Badda, Dhaka",8 Bedroom,N/A,1200,7,2,350
Built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",4 Bedroom,N/A,1270,2,1,175
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,N/A,1140,2,2,38.55
Super built-up  Area,21-Jan,"Purana Paltan, Motijheel, Dhaka",1 BHK,N/A,525,1,1,30
Plot  Area,Ready To Move,"Block B, Section 13, Mirpur, Dhaka",3 Bedroom,N/A,1200,2,1,98
Built-up  Area,Ready To Move,"Ahmed Nagar, Mirpur, Dhaka",1 Bedroom,N/A,700,1,1,162
Super built-up  Area,18-Jul,"Mirpur, Dhaka",2 BHK,N/A,1205.47,2,1,81
Plot  Area,Ready To Move,"West Nakhalpara, Tejgaon, Dhaka",3 Bedroom,N/A,1200,3,2,130
Super built-up  Area,Ready To Move,"Shantibag, Malibagh, Dhaka",3 BHK,N/A,1700,3,2,75
Plot  Area,Ready To Move,"Block F, aziz Moholla, Mohammadpur, Dhaka",5 Bedroom,N/A,750,4,0,62
Super built-up  Area,21-May,"Shantibag, Malibagh, Dhaka",2 BHK,N/A,1090,2,1,54.54
Super built-up  Area,Ready To Move,"Malibagh, Dhaka",4 BHK,N/A,3600,5,,220
Built-up  Area,Ready To Move,"Middle Bashabo, Bashabo, Dhaka",1 BHK,N/A,2400,1,0,650
Super built-up  Area,19-Mar,"Ibrahimpur, Dhaka",1 BHK,N/A,923,1,1,60.84
Super built-up  Area,18-May,"Block B, Banasree, Dhaka",4 BHK,N/A,3595,6,2,360
Super built-up  Area,Ready To Move,"Block B, Banasree, Dhaka",2 BHK,N/A,1050,2,2,48
Super built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",2 BHK,N/A,1495,2,2,79.5
Super built-up  Area,19-Mar,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1482 - 1846,,,93.865
Built-up  Area,Ready To Move,"Block K, South Banasree Project, Banasree, Dhaka",3 BHK,N/A,1485,3,2,85
Super built-up  Area,19-Dec,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1033,2,2,31.5
Super built-up  Area,Ready To Move,"Block B, Banasree, Dhaka",3 BHK,N/A,1400,2,1,48
Built-up  Area,Ready To Move,"Malibagh, Dhaka",1 Bedroom,N/A,500,1,0,70
Super built-up  Area,Ready To Move,"Wari, Sutrapur, Dhaka",2 BHK,N/A,944,2,1,35
Built-up  Area,Ready To Move,"Middle Bashabo, Bashabo, Dhaka",5 Bedroom,N/A,3250,5,0,290
Super built-up  Area,19-Mar,"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,N/A,1216,2,1,66.48
Super built-up  Area,Ready To Move,"Middle Bashabo, Bashabo, Dhaka",2 BHK,N/A,1100,2,1,39.5
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1743,3,2,93.25
Super built-up  Area,Ready To Move,"Middle Bashabo, Bashabo, Dhaka",2 BHK,N/A,1274,2,2,48.42
Super built-up  Area,Ready To Move,"East Namapara, Namapara, Khilkhet, Dhaka",3 BHK,N/A,2500,3,2,425
Super built-up  Area,Ready To Move,"Sobhanbagh, Tejgaon, Dhaka",3 BHK,N/A,1512,2,2,110
Super built-up  Area,Ready To Move,"East Rampura, Rampura, Dhaka",4 BHK,N/A,3100,5,1,385
Super built-up  Area,Ready To Move,"Rupnagar R/A, Mirpur, Dhaka",3 BHK,N/A,1650,3,3,100
Built-up  Area,Ready To Move,"Block L, Bashundhara R-A, Dhaka",3 BHK,N/A,1875,3,1,55
Built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",3 BHK,N/A,1350,3,2,54
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1219,2,2,40
Plot  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",4 Bedroom,N/A,1200,4,1,150
Plot  Area,Ready To Move,"Section 12, Mirpur, Dhaka",3 Bedroom,N/A,2400,3,3,85
Super built-up  Area,Ready To Move,"Lalbagh, Dhaka",2 BHK,N/A,1141,2,1,44.4
Super built-up  Area,Ready To Move,"Block C, Section 12, Mirpur, Dhaka",2 BHK,N/A,1151,2,1,43.1
Plot  Area,Ready To Move,"Rampura, Dhaka",3 Bedroom,N/A,832,3,1,77
Super built-up  Area,Ready To Move,"Block K, South Banasree Project, Banasree, Dhaka",2 BHK,N/A,915,2,1,38
Plot  Area,Ready To Move,"Kakrail, Dhaka",3 Bedroom,N/A,3259,3,0,270
Super built-up  Area,22-Dec,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",2 BHK,N/A,1115,2,1,65.12
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",3 BHK,N/A,2072,4,2,139
Super built-up  Area,Ready To Move,"Block I, Bashundhara R-A, Dhaka",2 BHK,N/A,1200,2,2,53
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1300,2,2,65
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",2 BHK,N/A,1457,2,2,85
Super built-up  Area,Ready To Move,"Badda, Dhaka",2 BHK,N/A,1262,2,2,55
Plot  Area,Ready To Move,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",4 Bedroom,N/A,1196,3,1,150
Super built-up  Area,18-Aug,"Faydabad, Dakshin Khan, Dhaka",2 BHK,N/A,900,2,2,22.5
Built-up  Area,Ready To Move,"Nabi Nagar Housing, Mohammadpur, Dhaka",1 BHK,N/A,420,1,1,17
Super built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",2 BHK,N/A,1160,2,1,46.39
Super built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,1115,2,2,50
Built-up  Area,Ready To Move,"Shah Ali Bag, Section 1, Mirpur, Dhaka",3 BHK,N/A,1315,2,1,85.4
Built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,1500,2,2,57
Super built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",2 BHK,N/A,1127,2,1,68
Super built-up  Area,18-Feb,"Block C, Bashundhara R-A, Dhaka",3 BHK,N/A,1397,3,2,104
Built-up  Area,20-Dec,"Tali office Road, Hazaribag, Dhaka",2 BHK,N/A,1173,2,1,60
Super built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",2 BHK,N/A,1090,2,2,28
Super built-up  Area,Ready To Move,"East Kazipara, Mirpur, Dhaka",3 BHK,N/A,2720,5,,210
Super built-up  Area,18-May,"South Chalabon, Dakshin Khan, Dhaka",2 BHK,N/A,1230,2,1,76
Super built-up  Area,Ready To Move,"Faydabad, Dakshin Khan, Dhaka",4 BHK,N/A,3200,3,3,190
Super built-up  Area,19-Dec,"Sector 11, Uttara, Dhaka",2 BHK,N/A,858,2,1,31.57
Super built-up  Area,21-Mar,"Shyamoli, Dhaka",3 BHK,N/A,1868,3,1,121
Super built-up  Area,Ready To Move,"Block F, Banasree, Dhaka",3 BHK,N/A,1689.28,3,2,91.2
Built-up  Area,Ready To Move,"Gawair, Dakshin Khan, Dhaka",4 BHK,N/A,600,3,2,73
Super built-up  Area,Ready To Move,"Block F, Banasree, Dhaka",3 BHK,N/A,1425,3,3,49.88
Plot  Area,Ready To Move,"Bashabo, Dhaka",6 Bedroom,N/A,1200,6,2,170
Plot  Area,Ready To Move,"Bashabo, Dhaka",2 Bedroom,N/A,1350,2,1,100
Built-up  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",6 Bedroom,N/A,4200,6,0,180
Super built-up  Area,Ready To Move,"Block K, South Banasree Project, Banasree, Dhaka",3 BHK,N/A,1310,2,1,85
Super built-up  Area,18-Jun,"Farmgate, Tejgaon, Dhaka",4 BHK,N/A,2805 - 3565,,,175
Super built-up  Area,Ready To Move,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",2 BHK,N/A,970,2,1,40
Super built-up  Area,18-May,"Merul Badda, Badda, Dhaka",3 BHK,N/A,1397,3,3,108
Super built-up  Area,18-Jul,"Rajabazar, Tejgaon, Dhaka",2 BHK,N/A,1157,2,1,40
Super built-up  Area,Ready To Move,"Chandmiya Housing, Mohammadpur, Dhaka",2 BHK,N/A,1125,2,1,61.2
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1157,2,1,42
Super built-up  Area,Ready To Move,"Block B, Bashundhara R-A, Dhaka",2 BHK,N/A,1241,2,1,82
Super built-up  Area,19-Dec,"Gawair, Dakshin Khan, Dhaka",1 BHK,N/A,660,1,1,62
Built-up  Area,Ready To Move,"Kamlapur, Motijheel, Dhaka",4 BHK,N/A,4000,4,3,220
Super built-up  Area,Ready To Move,"South Pirerbag, Pirerbag, Mirpur, Dhaka",4 BHK,N/A,2340,4,1,148
Built-up  Area,Ready To Move,"Kachukhet, Dhaka",1 BHK,N/A,596,1,1,42
Super built-up  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",16 BHK,N/A,10000,16,,550
Plot  Area,Ready To Move,"Bashabo, Dhaka",4 Bedroom,N/A,1200,4,3,110
Super built-up  Area,Ready To Move,"Bashabo, Dhaka",3 BHK,N/A,1910,3,1,190
Super built-up  Area,Ready To Move,"Block F, Banasree, Dhaka",2 BHK,N/A,1139,2,2,80
Super built-up  Area,Ready To Move,"Block F, Banasree, Dhaka",4 BHK,N/A,3122,5,2,225
Super built-up  Area,19-Aug,"Block F, Banasree, Dhaka",2 BHK,N/A,1033,2,2,28.41
Super built-up  Area,Ready To Move,"Shegunbagicha, Dhaka",2 BHK,N/A,1168,2,2,64.08
Super built-up  Area,Ready To Move,"Shamibag Road, Shamibag, Sutrapur, Dhaka",2 BHK,N/A,877,2,3,42
Built-up  Area,18-Jul,"Shamibag Road, Shamibag, Sutrapur, Dhaka",2 BHK,N/A,1340,2,2,75
Built-up  Area,Ready To Move,"Sobhanbagh, Tejgaon, Dhaka",3 BHK,N/A,1405,2,2,70
Super built-up  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",3 BHK,N/A,1800,3,3,65
Built-up  Area,Ready To Move,"Kachukhet, Dhaka",3 BHK,N/A,1750,3,3,149
Super built-up  Area,Ready To Move,"Gawair, Dakshin Khan, Dhaka",3 BHK,N/A,1360,2,1,65
Plot  Area,Ready To Move,"Block F, aziz Moholla, Mohammadpur, Dhaka",3 Bedroom,N/A,675,2,0,148
Super built-up  Area,19-Jun,"Mohammadpur, Dhaka",2 BHK,N/A,985,2,1,63
Super built-up  Area,16-Jul,"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,N/A,1300,2,1,129
Super built-up  Area,Ready To Move,"Nikunja 2, Nikunja, Dhaka",3 BHK,N/A,1850,3,2,150
Super built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",3 BHK,N/A,1490,2,3,88
Super built-up  Area,Ready To Move,"Bashundhara R-A, Dhaka",2 BHK,N/A,620,1,1,25
Super built-up  Area,19-Aug,"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,N/A,1130,2,1,42.3
Super built-up  Area,Ready To Move,"Block B, Banasree, Dhaka",2 BHK,N/A,1080,2,2,55
Built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",4 BHK,N/A,3126,4,,120
Super built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,N/A,1410,2,3,52.17
Super built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,N/A,1375,3,2,59
Super built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,N/A,1290,2,1,94.5
Super built-up  Area,19-Mar,"Block D, Section 12, Mirpur, Dhaka",3 BHK,N/A,1318,2,1,85.28
Super built-up  Area,Ready To Move,"Bashabo, Dhaka",2 BHK,N/A,1128,2,1,68
Plot  Area,Ready To Move,"Shantibag, Malibagh, Dhaka",4 Bedroom,N/A,4428,4,2,255
Super built-up  Area,21-Mar,"Block A, Banasree, Dhaka",2 BHK,N/A,1051,2,2,56.74
Plot  Area,Ready To Move,"Malibagh, Dhaka",3 Bedroom,N/A,3500,5,0,275
Plot  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",4 Bedroom,N/A,2400,4,1,130
Super built-up  Area,Ready To Move,"Block A, Banasree, Dhaka",2 BHK,N/A,1327,2,3,85
Super built-up  Area,Ready To Move,"Wari, Sutrapur, Dhaka",4 BHK,N/A,2912,6,2,210
Super built-up  Area,Ready To Move,"Shahidbag, Malibagh, Dhaka",2 BHK,N/A,1301,2,2,55
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",1 BHK,N/A,650,1,0,30
Plot  Area,18-Jul,"Block C, Banasree, Dhaka",3 Bedroom,N/A,1200,3,1,67.75
Super built-up  Area,Ready To Move,"Block A, Banasree, Dhaka",3 BHK,N/A,1500,2,2,89.99
Plot  Area,Ready To Move,"Bashabo, Dhaka",4 Bedroom,N/A,2700,6,,675
Plot  Area,Ready To Move,"Nikunja 2, Nikunja, Dhaka",4 Bedroom,N/A,1350,4,2,145
Built-up  Area,18-Aug,"Block A, Banasree, Dhaka",2 BHK,N/A,1000,2,1,28.88
Super built-up  Area,19-Nov,"Nikunja 2, Nikunja, Dhaka",2 BHK,N/A,984,2,1,45.91
Super built-up  Area,22-May,"Block D, Section 12, Mirpur, Dhaka",3 BHK,N/A,1819.18,3,1,160
Built-up  Area,Ready To Move,"Mohammadpur, Dhaka",1 Bedroom,N/A,900,1,0,175
Super built-up  Area,18-Apr,"North Kamlapur, Kamlapur, Motijheel, Dhaka",3 BHK,N/A,1355,3,1,83.87
Super built-up  Area,Ready To Move,"Shegunbagicha, Dhaka",3 BHK,N/A,2145,4,1,270
Super built-up  Area,Ready To Move,"Kachukhet, Dhaka",3 BHK,N/A,2475,4,3,300
Super built-up  Area,18-Aug,"Sobhanbagh, Tejgaon, Dhaka",2 BHK,N/A,1118,2,0,30
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",1 BHK,N/A,910,1,1,42
Super built-up  Area,18-May,"Block A, Section 1, Mirpur, Dhaka",3 BHK,N/A,1250,3,2,39
Super built-up  Area,18-Mar,"Mohammadpur, Dhaka",2 BHK,N/A,1304,2,3,100
Super built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",3 BHK,N/A,1615,3,2,58
Super built-up  Area,Ready To Move,"Nikunja 2, Nikunja, Dhaka",2 BHK,N/A,1400,2,2,68
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,1070,2,2,47.5
Super built-up  Area,17-Nov,"Mirpur, Dhaka",3 BHK,N/A,3500,3,3,395
Super built-up  Area,22-Jun,"Block F, Banasree, Dhaka",2 BHK,N/A,1132,2,1,89.37
Super built-up  Area,Ready To Move,"Kachukhet, Dhaka",3 BHK,N/A,2000,3,2,85
Plot  Area,Ready To Move,"Uttar Para, Khilkhet, Dhaka",7 Bedroom,N/A,2400,5,1,550
Super built-up  Area,Ready To Move,"Rajabazar, Tejgaon, Dhaka",1 BHK,N/A,794,1,2,65
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",2 BHK,N/A,1090,2,2,43.59
Super built-up  Area,Ready To Move,"Gawair, Dakshin Khan, Dhaka",3 BHK,N/A,1500,3,2,70
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,2059,3,2,225
Super built-up  Area,21-Jan,"Badda, Dhaka",1 BHK,N/A,525,1,1,30
Super built-up  Area,18-May,"Dhanmondi, Dhaka",2 BHK,N/A,1447,2,1,75.97
Super built-up  Area,20-Dec,"Gawair, Dakshin Khan, Dhaka",2 BHK,N/A,1269,2,1,75
Plot  Area,18-Apr,"Block G/1, Section 2, Mirpur, Dhaka",4 Bedroom,N/A,4800,4,0,700
Super built-up  Area,Ready To Move,"West Agargaon, Agargaon, Dhaka",2 BHK,N/A,1070,2,2,37.45
Super built-up  Area,Ready To Move,"Natun Bazar, Badda, Dhaka",2 BHK,N/A,1150,2,0,28
Super built-up  Area,Ready To Move,"North Donia, Donia, Jatra Bari, Dhaka",2 BHK,N/A,1208,2,2,70
Super built-up  Area,Ready To Move,"Pallabi Extension, Pallabi, Mirpur, Dhaka",2 BHK,N/A,1185,2,1,45.5
Plot  Area,Ready To Move,"Section 12, Mirpur, Dhaka",3 Bedroom,N/A,1200,3,1,130
Super built-up  Area,Ready To Move,"Senpara Parbata, Section 10, Mirpur, Dhaka",2 BHK,N/A,888,2,1,34
Super built-up  Area,18-Aug,"Eastern Pallabi, Pallabi, Mirpur, Dhaka",2 BHK,N/A,1015,2,2,25.88
Built-up  Area,Ready To Move,"Kazirgaon, Jatra Bari, Dhaka",1 BHK,N/A,532,1,1,22.49
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1060,3,1,62
Built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",1 BHK,N/A,700,1,1,35
Super built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,902,2,2,42
Plot  Area,Ready To Move,"Block C, Section 12, Mirpur, Dhaka",6 Bedroom,N/A,600,3,3,95
Super built-up  Area,Ready To Move,"Cantonment, Dhaka",2 BHK,N/A,1175,2,1,47
Super built-up  Area,19-Dec,"Malibagh, Dhaka",2 BHK,N/A,1365,2,1,122
Super built-up  Area,Ready To Move,"North Goran, Goran, Khilgaon, Dhaka",2 BHK,N/A,984,2,1,51
Plot  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",4 Bedroom,N/A,2700,2,2,100
Super built-up  Area,Ready To Move,"Merul Badda, Badda, Dhaka",3 BHK,N/A,1475,3,2,96
Super built-up  Area,Ready To Move,"Senpara Parbata, Section 10, Mirpur, Dhaka",2 BHK,N/A,1300,2,2,79
Plot  Area,Ready To Move,"South Mugdapara, Mugdapara, Dhaka",5 Bedroom,N/A,1200,6,1,220
Built-up  Area,Ready To Move,"Sector 1, Block D, Aftab Nagar, Dhaka",3 BHK,N/A,1453,2,2,43.59
Super built-up  Area,Ready To Move,"East Merul Badda, Merul Badda, Badda, Dhaka",2 BHK,N/A,1550,2,3,160
Built-up  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",3 BHK,N/A,1666,3,,95
Plot  Area,Ready To Move,"Block B, Mansurabad Housing Society, Adabor, Dhaka",4 Bedroom,N/A,1410,4,2,160
Plot  Area,18-Mar,"Taltola, Agargaon, Dhaka",4 Bedroom,N/A,4025,5,3,800
Super built-up  Area,Ready To Move,"East Rampura, Rampura, Dhaka",3 BHK,N/A,1845,3,3,91
Super built-up  Area,Ready To Move,"Shantibag, Malibagh, Dhaka",3 BHK,N/A,1676,3,3,52
Super built-up  Area,20-Dec,"Taltola, Agargaon, Dhaka",2 BHK,N/A,1137,2,1,63
Super built-up  Area,Ready To Move,"Shantibag, Malibagh, Dhaka",3 BHK,N/A,1360,2,1,70.5
Super built-up  Area,Ready To Move,"Taltola, Agargaon, Dhaka",3 BHK,N/A,1374,2,2,70
Built-up  Area,Ready To Move,"West Agargaon, Agargaon, Dhaka",3 Bedroom,N/A,1700,3,2,155
Plot  Area,Ready To Move,"Block D, Section 10, Mirpur, Dhaka",5 Bedroom,N/A,3227,5,0,250
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",4 BHK,N/A,2145,4,,125
Plot  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",4 Bedroom,N/A,2400,6,3,600
Super built-up  Area,18-May,"Kafrul, Dhaka",3 BHK,N/A,2170,3,2,151
Built-up  Area,Ready To Move,"Shahjadpur, Badda, Dhaka",2 BHK,N/A,1080,2,1,55
Built-up  Area,Ready To Move,"Naya Nagar, Khilkhet, Dhaka",3 BHK,N/A,1790,3,3,100
Super built-up  Area,Ready To Move,"Agargaon, Dhaka",1 BHK,N/A,550,1,1,17
Super built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",3 BHK,N/A,1270,2,2,50.79
Built-up  Area,Ready To Move,"Nurer Chala, Badda, Dhaka",2 BHK,N/A,1033,2,2,48
Built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 Bedroom,N/A,1000,2,1,80
Super built-up  Area,19-Dec,"West Shewrapara, Mirpur, Dhaka",4 BHK,N/A,2940,6,2,280
Super built-up  Area,Ready To Move,"Kalachandpur, Dhaka",2 BHK,N/A,1240,2,2,52.6
Plot  Area,Ready To Move,"Merul Badda, Badda, Dhaka",5 Bedroom,N/A,1650,5,1,450
Super built-up  Area,Ready To Move,"Shantibag, Malibagh, Dhaka",2 BHK,N/A,883,2,1,39
Built-up  Area,15-Jun,"Badda, Dhaka",3 BHK,N/A,1500,2,0,97
Super built-up  Area,Ready To Move,"Shantibag, Malibagh, Dhaka",3 BHK,N/A,1730,3,3,139
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",3 BHK,N/A,1915,3,3,80
Super built-up  Area,Ready To Move,"Block B, Section 10, Mirpur, Dhaka",3 BHK,N/A,1545,3,2,79
Super built-up  Area,19-Mar,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",3 BHK,N/A,1865,4,2,140
Super built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",2 BHK,N/A,1150,2,2,40
Super built-up  Area,18-Aug,"Block I, Bashundhara R-A, Dhaka",2 BHK,N/A,1200,2,2,49
Built-up  Area,Ready To Move,"Block I, Bashundhara R-A, Dhaka",2 BHK,N/A,963,2,2,40
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",3 Bedroom,N/A,1200,3,1,120
